game_order,event,site,Year,round,white,black,result,white_elo,black_elo,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,Index,White Player's Full Name,White Player's Country,Black player's Nationality.Country,Black player's Nationality.Short name
4,"World Championship 22th","Moscow",1958,4,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D98",2468,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
7,"World Championship 22th","Moscow",1958,7,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"B72",2471,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
8,"World Championship 22th","Moscow",1958,8,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E69",2472,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
9,"World Championship 22th","Moscow",1958,9,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"B72",2473,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
10,"World Championship 22th","Moscow",1958,10,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"A16",2474,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
13,"World Championship 22th","Moscow",1958,13,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"D47",2477,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
16,"World Championship 22th","Moscow",1958,16,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"A16",2480,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
17,"World Championship 22th","Moscow",1958,17,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"B10",2481,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
20,"World Championship 22th","Moscow",1958,20,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"A30",2484,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
21,"World Championship 22th","Moscow",1958,21,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"B34",2485,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
23,"World Championship 22th","Moscow",1958,23,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"A05",2487,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
1,"World Championship 31th-KK1","Moscow",1984,1,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"B81",2235,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
2,"World Championship 31th-KK1","Moscow",1984,2,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E17",2236,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
4,"World Championship 31th-KK1","Moscow",1984,4,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E15",2238,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
5,"World Championship 31th-KK1","Moscow",1984,5,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"B85",2239,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
8,"World Championship 31th-KK1","Moscow",1984,8,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E05",2242,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
10,"World Championship 31th-KK1","Moscow",1984,10,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E12",2244,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
11,"World Championship 31th-KK1","Moscow",1984,11,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"A30",2245,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
12,"World Championship 31th-KK1","Moscow",1984,12,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"D58",2246,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
13,"World Championship 31th-KK1","Moscow",1984,13,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"A30",2247,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
14,"World Championship 31th-KK1","Moscow",1984,14,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E15",2248,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
15,"World Championship 31th-KK1","Moscow",1984,15,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"E15",2249,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
16,"World Championship 31th-KK1","Moscow",1984,16,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E15",2250,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
17,"World Championship 31th-KK1","Moscow",1984,17,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D58",2251,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
18,"World Championship 31th-KK1","Moscow",1984,18,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E15",2252,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
19,"World Championship 31th-KK1","Moscow",1984,19,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D55",2253,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
20,"World Championship 31th-KK1","Moscow",1984,20,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"A30",2254,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
21,"World Championship 31th-KK1","Moscow",1984,21,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D53",2255,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
22,"World Championship 31th-KK1","Moscow",1984,22,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"E05",2256,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
23,"World Championship 31th-KK1","Moscow",1984,23,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D53",2257,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
24,"World Championship 31th-KK1","Moscow",1984,24,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"A33",2258,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
25,"World Championship 31th-KK1","Moscow",1984,25,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D58",2259,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
26,"World Championship 31th-KK1","Moscow",1984,26,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"A33",2260,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
28,"World Championship 31th-KK1","Moscow",1984,28,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"C42",2262,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
29,"World Championship 31th-KK1","Moscow",1984,29,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D47",2263,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
30,"World Championship 31th-KK1","Moscow",1984,30,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"C42",2264,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
31,"World Championship 31th-KK1","Moscow",1984,31,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D58",2265,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
33,"World Championship 31th-KK1","Moscow",1984,33,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D45",2267,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
34,"World Championship 31th-KK1","Moscow",1984,34,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"D58",2268,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
35,"World Championship 31th-KK1","Moscow",1984,35,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"B64",2269,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
36,"World Championship 31th-KK1","Moscow",1984,36,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"D58",2270,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
37,"World Championship 31th-KK1","Moscow",1984,37,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"B63",2271,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
38,"World Championship 31th-KK1","Moscow",1984,38,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"D58",2272,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
39,"World Championship 31th-KK1","Moscow",1984,39,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"D58",2273,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
40,"World Championship 31th-KK1","Moscow",1984,40,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"D58",2274,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
41,"World Championship 31th-KK1","Moscow",1984,41,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"C42",2275,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
42,"World Championship 31th-KK1","Moscow",1984,42,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"D58",2276,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
43,"World Championship 31th-KK1","Moscow",1984,43,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"B84",2277,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
44,"World Championship 31th-KK1","Moscow",1984,44,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"C92",2278,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
45,"World Championship 31th-KK1","Moscow",1984,45,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2715,"","","draw",,"draw",,0,"B85",2279,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
46,"World Championship 31th-KK1","Moscow",1984,46,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2715,2705,"","","draw",,"draw",,0,"C92",2280,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
2,"World Championship 32th-KK2","Moscow",1985,2,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"B85",2212,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
3,"World Championship 32th-KK2","Moscow",1985,3,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"D55",2213,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
6,"World Championship 32th-KK2","Moscow",1985,6,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"D55",2216,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
7,"World Championship 32th-KK2","Moscow",1985,7,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"E32",2217,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
8,"World Championship 32th-KK2","Moscow",1985,8,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"D58",2218,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
9,"World Championship 32th-KK2","Moscow",1985,9,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"C92",2219,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
10,"World Championship 32th-KK2","Moscow",1985,10,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"B85",2220,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
12,"World Championship 32th-KK2","Moscow",1985,12,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"B44",2222,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
13,"World Championship 32th-KK2","Moscow",1985,13,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"E20",2223,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
14,"World Championship 32th-KK2","Moscow",1985,14,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"B54",2224,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
15,"World Championship 32th-KK2","Moscow",1985,15,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"C42",2225,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
17,"World Championship 32th-KK2","Moscow",1985,17,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"E20",2227,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
18,"World Championship 32th-KK2","Moscow",1985,18,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"B85",2228,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
20,"World Championship 32th-KK2","Moscow",1985,20,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2720,2700,"","","draw",,"draw",,0,"D35",2230,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
21,"World Championship 32th-KK2","Moscow",1985,21,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"D31",2231,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
23,"World Championship 32th-KK2","Moscow",1985,23,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2700,2720,"","","draw",,"draw",,0,"D55",2233,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
3,"World Championship 14th","GER/NLD",1929,3,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D17",2691,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
9,"World Championship 14th","GER/NLD",1929,9,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D52",2697,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
11,"World Championship 14th","GER/NLD",1929,11,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D51",2699,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
15,"World Championship 14th","GER/NLD",1929,15,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"E70",2703,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
23,"World Championship 14th","GER/NLD",1929,23,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D46",2711,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
25,"World Championship 14th","GER/NLD",1929,25,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D30",2713,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
6,"World Championship 15th","Germany",1934,6,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D30",2668,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
8,"World Championship 15th","Germany",1934,8,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"E24",2670,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
12,"World Championship 15th","Germany",1934,12,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D49",2674,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
14,"World Championship 15th","Germany",1934,14,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D60",2676,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
18,"World Championship 15th","Germany",1934,18,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D05",2680,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
20,"World Championship 15th","Germany",1934,20,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"D52",2682,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
22,"World Championship 15th","Germany",1934,22,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"E35",2684,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
26,"World Championship 15th","Germany",1934,26,"Alekhine, Alexander","Bogoljubow, Efim","1/2-1/2",,,"","","draw",,"draw",,0,"E67",2688,"Alekhine, Alexander","Russia","Russia","Bogoljubow, Efim"
7,"World Championship 18th","NLD/URS",1948,3,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"D96",2564,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
16,"World Championship 18th","NLD/URS",1948,8,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D98",2573,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
36,"World Championship 18th","NLD/URS",1948,18,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D76",2593,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
45,"World Championship 18th","NLD/URS",1948,23,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"D22",2602,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
1,"World Championship 33th-KK3","London/Leningrad",1986,1,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D92",2187,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
2,"World Championship 33th-KK3","London/Leningrad",1986,2,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2740,2705,"","","draw",,"draw",,0,"E20",2188,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
3,"World Championship 33th-KK3","London/Leningrad",1986,3,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D79",2189,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
6,"World Championship 33th-KK3","London/Leningrad",1986,6,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2740,2705,"","","draw",,"draw",,0,"C42",2192,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
7,"World Championship 33th-KK3","London/Leningrad",1986,7,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D31",2193,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
9,"World Championship 33th-KK3","London/Leningrad",1986,9,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D93",2195,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
10,"World Championship 33th-KK3","London/Leningrad",1986,10,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2740,2705,"","","draw",,"draw",,0,"D55",2196,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
11,"World Championship 33th-KK3","London/Leningrad",1986,11,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D93",2197,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
12,"World Championship 33th-KK3","London/Leningrad",1986,12,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2740,2705,"","","draw",,"draw",,0,"D55",2198,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
13,"World Championship 33th-KK3","London/Leningrad",1986,13,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D79",2199,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
15,"World Championship 33th-KK3","London/Leningrad",1986,15,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"D98",2201,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
20,"World Championship 33th-KK3","London/Leningrad",1986,20,"Kasparov, Gary","Karpov, Anatoly","1/2-1/2",2740,2705,"","","draw",,"draw",,0,"E05",2206,"Kasparov, Gary","Russia","Russia","Karpov, Anatoly"
21,"World Championship 33th-KK3","London/Leningrad",1986,21,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"E15",2207,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
23,"World Championship 33th-KK3","London/Leningrad",1986,23,"Karpov, Anatoly","Kasparov, Gary","1/2-1/2",2705,2740,"","","draw",,"draw",,0,"A30",2209,"Karpov, Anatoly","Russia","Russia","Kasparov, Gary"
