eco,eco_name,eco_example,eco_type,eco_group,openings.name,openings.link,openings.color,openings.total_games,openings.eco,openings.last_played,Performance,openings.avg_player,Wins,Draws,Loses,openings.moves
"A18","English, Mikenas-Carls","1 c4 Nf6 2 Nc3 e6 3 e4","A","Flank","English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation","https://old.chesstempo.com/gamedb/opening/441","black",197,"A18","19-01-2021",1939,"1951",0.223,0.178,0.599,"1.c4 Cf6 2.Cc3 e6 3.e4 Cc6"
"A19","English, Mikenas-Carls, Sicilian Variation","1 c4 Nf6 2 Nc3 e6 3 e4 c5","A","Flank","English Opening, Anglo-Indian Defense, Flohr-Mikenas-Carls Variation","https://old.chesstempo.com/gamedb/opening/442","black",366,"A19","30-08-2020",2271,"2324",0.273,0.311,0.415,"1.c4 Cf6 2.Cc3 e6 3.e4 c5"
"A20","English","1 c4 e5","A","Flank","English Opening, Drill Variation","https://old.chesstempo.com/gamedb/opening/460","black",176,"A20","01-10-2020",2323,"2339",0.455,0.244,0.301,"1.c4 e5 2.g3 h5"
"A21","English","1 c4 e5 2 Nc3","A","Flank","English Opening, King's English Variation, General Variation","https://old.chesstempo.com/gamedb/opening/485","white",1113,"A21","19-02-2021",2251,"2251",0.346,0.294,0.36,"1.c4 e5 2.Cc3 d6 3.Cf3"
"A22","English","1 c4 e5 2 Nc3 Nf6","A","Flank","English Opening, King's English Variation, Bellon Gambit","https://old.chesstempo.com/gamedb/opening/468","black",150,"A22","18-11-2019",2269,"2262",0.307,0.293,0.4,"1.c4 e5 2.Cc3 Cf6 3.Cf3 e4 4.Cg5 b5"
"A25","English","1 c4 e5 2 Nc3 Nc6","A","Flank","English Opening, King's English Variation, Bremen-Hort Variation","https://old.chesstempo.com/gamedb/opening/471","black",420,"A25","03-12-2020",2225,"2236",0.362,0.262,0.376,"1.c4 e5 2.Cc3 Cc6 3.g3 g6 4.Ag2 Ag7 5.e3 d6 6.Cge2 Ae6"
"A26","English","1 c4 e5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 d3 d6","A","Flank","English Opening, King's English Variation, Botvinnik System","https://old.chesstempo.com/gamedb/opening/469","white",961,"A26","07-12-2020",2302,"2283",0.329,0.382,0.289,"1.c4 e5 2.Cc3 Cc6 3.g3 g6 4.Ag2 Ag7 5.d3 d6 6.e4"
"A28","English","1 c4 e5 2 Nc3 Nc6 3 Nf3 Nf6","A","Flank","English Opening, King's English Variation, Four Knights Variation","https://old.chesstempo.com/gamedb/opening/474","black",128,"A28","31-01-2020",2372,"2403",0.313,0.391,0.297,"1.c4 e5 2.Cc3 Cc6 3.Cf3 Cf6 4.d4 exd4 5.Cxd4 Ab4 6.Ag5 h6 7.Ah4 Axc3+ 8.bxc3 Ce5"
"A29","English, Four Knights, Kingside Fianchetto","1 c4 e5 2 Nc3 Nc6 3 Nf3 Nf6 4 g3","A","Flank","English Opening, King's English Variation, Four Knights Variation, Fianchetto Lines","https://old.chesstempo.com/gamedb/opening/477","white",6111,"A29","28-03-2021",2372,"2347",0.367,0.365,0.268,"1.c4 e5 2.Cc3 Cc6 3.Cf3 Cf6 4.g3"
"A40","Queen's Pawn Game","1 d4","A","Flank","Australian Defense","https://old.chesstempo.com/gamedb/opening/2950","black",24,"A40","11-10-2019",2113,"2212",0.375,0.167,0.458,"1.d4 Ca6"
"A43","Old Benoni","1 d4 c5","A","Flank","Benoni Defense, Benoni Gambit Accepted","https://old.chesstempo.com/gamedb/opening/78","white",711,"A43","13-10-2020",2069,"2086",0.298,0.236,0.465,"1.d4 c5 2.dxc5"
"A44","Old Benoni Defense","1 d4 c5 2 d5 e5","A","Flank","Benoni Defense, Old Benoni, Pawn Thrust","https://old.chesstempo.com/gamedb/opening/111","black",1618,"A44","28-03-2021",2135,"2190",0.327,0.258,0.415,"1.d4 c5 2.d5 e5"
"A51","Budapest Gambit","1 d4 Nf6 2 c4 e5","A","Flank","Budapest Defense, Fajarowicz - Steiner Variation","https://old.chesstempo.com/gamedb/opening/235","white",87,"A51","10-11-2020",2113,"2184",0.414,0.172,0.414,"1.d4 Cf6 2.c4 e5 3.dxe5 Ce4 4.Dc2"
"A52","Budapest Gambit","1 d4 Nf6 2 c4 e5 3 dxe5 Ng4","A","Flank","Budapest Defense, Adler Variation","https://old.chesstempo.com/gamedb/opening/231","white",3241,"A52","12-03-2021",2115,"2096",0.423,0.26,0.316,"1.d4 Cf6 2.c4 e5 3.dxe5 Cg4 4.Cf3"
"A57","Benko Gambit","1 d4 Nf6 2 c4 c5 3 d5 b5","A","Flank","Benko Gambit, Accepted","https://old.chesstempo.com/gamedb/opening/56","black",61,"A57","21-02-2020",2070,"2075",0.459,0.246,0.295,"1.d4 Cf6 2.c4 c5 3.d5 b5 4.cxb5 a6"
"A56","Benoni Defense","1 d4 Nf6 2 c4 c5","A","Flank","Benoni Defense, Czech Benoni Defense","https://old.chesstempo.com/gamedb/opening/91","black",4085,"A56","24-11-2020",2243,"2295",0.302,0.275,0.423,"1.d4 Cf6 2.c4 c5 3.d5 e5"
"A58","Benko Gambit","1 d4 Nf6 2 c4 c5 3 d5 b5 4 cxb5 a6 5 bxa6","A","Flank","Benko Gambit, Accepted, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/59","white",2952,"A58","06-03-2021",2277,"2260",0.425,0.288,0.287,"1.d4 Cf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Axa6 6.Cc3 g6 7.Cf3 d6 8.g3 Ag7 9.Ag2"
"A59","Benko Gambit","1 d4 Nf6 2 c4 c5 3 d5 b5 4 cxb5 a6 5 bxa6 Bxa6 6 Nc3 d6 7 e4","A","Flank","Benko Gambit, Accepted, King Walk Variation","https://old.chesstempo.com/gamedb/opening/61","white",1891,"A59","17-03-2021",2308,"2264",0.423,0.332,0.246,"1.d4 Cf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Axa6 6.Cc3 d6 7.e4 Axf1 8.Rxf1 g6 9.g3 Ag7 10.Rg2 O-O 11.Cf3"
"A60","Benoni Defense","1 d4 Nf6 2 c4 c5 3 d5 e6","A","Flank","Benoni Defense, Modern Variation","https://old.chesstempo.com/gamedb/opening/107","black",2735,"A60","29-03-2021",2183,"2223",0.316,0.236,0.448,"1.d4 Cf6 2.c4 c5 3.d5 e6"
"A61","Benoni","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6","A","Flank","Benoni Defense, Knight's Tour Variation","https://old.chesstempo.com/gamedb/opening/104","white",1931,"A61","14-02-2021",2407,"2360",0.47,0.269,0.261,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.Cf3 g6 7.Cd2"
"A62","Benoni, Fianchetto Variation","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6 7 g3 Bg7 8 Bg2 O-O","A","Flank","Benoni Defense, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/92","black",3393,"A62","09-03-2021",2306,"2347",0.338,0.281,0.38,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.Cf3 g6 7.g3 Ag7 8.Ag2 O-O"
"A63","Benoni, Fianchetto, 9...Nbd7","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6 7 g3 Bg7 8 Bg2 O-O 9","A","Flank","Benoni Defense, Fianchetto Variation, Hastings Defense","https://old.chesstempo.com/gamedb/opening/93","black",372,"A63","21-03-2021",2405,"2441",0.358,0.347,0.296,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.Cf3 g6 7.g3 Ag7 8.Ag2 O-O 9.O-O Cbd7"
"A64","Benoni, Fianchetto, 11...Re8","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 Nf3 g6 7 g3 Bg7 8 Bg2 O-O 9","A","Flank","Benoni Defense, Fianchetto Variation, Hastings Defense, Main Line","https://old.chesstempo.com/gamedb/opening/94","black",1764,"A64","12-03-2021",2353,"2351",0.409,0.291,0.301,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.Cf3 g6 7.g3 Ag7 8.Ag2 O-O 9.O-O Cbd7 10.Cd2 a6 11.a4 Te8"
"A65","Benoni, 6.e4","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4","A","Flank","Benoni Defense, King Pawn lines","https://old.chesstempo.com/gamedb/opening/102","white",3606,"A65","25-03-2021",2256,"2214",0.445,0.221,0.334,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4"
"A66","Benoni","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4","A","Flank","Benoni Defense, Mikenas Variation","https://old.chesstempo.com/gamedb/opening/105","white",234,"A66","11-02-2020",2310,"2248",0.474,0.188,0.338,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Ag7 8.e5"
"A67","Benoni, Taimanov Variation","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4 Bg7 8 Bb5+","A","Flank","Benoni Defense, Taimanov Variation","https://old.chesstempo.com/gamedb/opening/118","white",2593,"A67","23-02-2021",2351,"2292",0.5,0.203,0.298,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Ag7 8.Ab5+"
"A68","Benoni, Four Pawns Attack","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4 Bg7 8 Nf3 O-O","A","Flank","Benoni Defense, Four Pawns Attack","https://old.chesstempo.com/gamedb/opening/95","black",427,"A68","14-03-2020",2208,"2218",0.454,0.211,0.335,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Ag7 8.Cf3 O-O"
"A69","Benoni, Four Pawns Attack, Main line","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 f4 Bg7 8 Nf3 O-O 9","A","Flank","Benoni Defense, Four Pawns Attack, Main Line","https://old.chesstempo.com/gamedb/opening/96","black",1282,"A69","06-02-2021",2139,"2196",0.3,0.23,0.47,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Ag7 8.Cf3 O-O 9.Ae2 Te8"
"A70","Benoni, Classical with 7.Nf3","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3","A","Flank","Benoni Defense, Classical Variation, General","https://old.chesstempo.com/gamedb/opening/83","white",1972,"A70","15-09-2020",2251,"2219",0.349,0.249,0.401,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3"
"A71","Benoni, Classical, 8.Bg5","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Bg5","A","Flank","Benoni Defense, Classical Variation, Averbakh-Grivas Attack","https://old.chesstempo.com/gamedb/opening/2827","white",593,"A71","31-10-2020",2336,"2284",0.465,0.214,0.32,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ag5"
"A72","Benoni, Classical without 9.O-O","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O","A","Flank","Benoni Defense, Classical Variation, Traditional Variation","https://old.chesstempo.com/gamedb/opening/2828","white",274,"A72","23-02-2020",2249,"2243",0.336,0.307,0.358,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2"
"A73","Benoni, Classical, 9.O-O","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Main line","https://old.chesstempo.com/gamedb/opening/89","white",601,"A73","21-01-2021",2282,"2265",0.366,0.294,0.339,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O"
"A74","Benoni, Classical, 9...a6, 10.a4","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Full line","https://old.chesstempo.com/gamedb/opening/82","white",208,"A74","13-03-2020",2203,"2163",0.428,0.226,0.346,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O a6 10.a4"
"A75","Benoni, Classical with ...a6 and 10...Bg4","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Argentine Counterattack","https://old.chesstempo.com/gamedb/opening/84","black",493,"A75","17-02-2020",2304,"2334",0.343,0.298,0.359,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O a6 10.a4 Ag4"
"A76","Benoni, Classical, 9...Re8","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Czerniak Defense","https://old.chesstempo.com/gamedb/opening/85","black",237,"A76","16-02-2020",2199,"2227",0.392,0.257,0.35,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O Te8"
"A77","Benoni, Classical, 9...Re8, 10.Nd2","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Czerniak Defense, Tal Line","https://old.chesstempo.com/gamedb/opening/88","white",975,"A77","08-03-2020",2365,"2332",0.43,0.259,0.312,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O Te8 10.Cd2"
"A78","Benoni, Classical with ...Re8 and ...Na6","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Czerniak Defense","https://old.chesstempo.com/gamedb/opening/86","black",290,"A78","14-11-2020",2347,"2330",0.369,0.286,0.345,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O Te8 10.Cd2 Ca6"
"A79","Benoni, Classical, 11.f3","1 d4 Nf6 2 c4 c5 3 d5 e6 4 Nc3 exd5 5 cxd5 d6 6 e4 g6 7 Nf3 Bg7 8 Be2 O-O 9","A","Flank","Benoni Defense, Classical Variation, Czerniak Defense","https://old.chesstempo.com/gamedb/opening/87","white",430,"A79","02-09-2020",2444,"2384",0.454,0.281,0.265,"1.d4 Cf6 2.c4 c5 3.d5 e6 4.Cc3 exd5 5.cxd5 d6 6.e4 g6 7.Cf3 Ag7 8.Ae2 O-O 9.O-O Te8 10.Cd2 Ca6 11.f3"
"A80","Dutch","1 d4 f5","A","Flank","Dutch Defense, Blackmar's Second Gambit","https://old.chesstempo.com/gamedb/opening/360","white",269,"A80","18-10-2019",2203,"2191",0.379,0.212,0.409,"1.d4 f5 2.e4 fxe4 3.Cc3 Cf6 4.f3"
"A81","Dutch","1 d4 f5 2 g3","A","Flank","Dutch Defense, Blackburne Variation","https://old.chesstempo.com/gamedb/opening/359","white",338,"A81","16-12-2020",2298,"2282",0.405,0.334,0.26,"1.d4 f5 2.g3 Cf6 3.Ag2 e6 4.Ch3"
"A82","Dutch, Staunton Gambit","1 d4 f5 2 e4","A","Flank","Dutch Defense, Staunton Gambit, Accepted","https://old.chesstempo.com/gamedb/opening/398","black",188,"A82","27-07-2019",2022,"2113",0.298,0.181,0.521,"1.d4 f5 2.e4 fxe4"
"A83","Dutch, Staunton Gambit","1 d4 f5 2 e4 fxe4 3 Nc3 Nf6 4 Bg5","A","Flank","Dutch Defense, Staunton Gambit, Chigorin Variation","https://old.chesstempo.com/gamedb/opening/401","black",348,"A83","26-01-2020",2149,"2205",0.33,0.244,0.425,"1.d4 f5 2.e4 fxe4 3.Cc3 Cf6 4.Ag5 c6"
"A84","Dutch","1 d4 f5 2 c4","A","Flank","Dutch Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/361","black",1865,"A84","26-02-2021",2134,"2154",0.327,0.289,0.385,"1.d4 f5 2.c4 e6"
"A85","Dutch, with c4 & Nc3","1 d4 f5 2 c4 Nf6 3 Nc3","A","Flank","Dutch Defense, Bellon Gambit","https://old.chesstempo.com/gamedb/opening/358","white",13,"A85","19-04-2004",2033,"2290",0.077,0.077,0.846,"1.d4 f5 2.c4 e6 3.e4"
"A86","Dutch","1 d4 f5 2 c4 Nf6 3 g3","A","Flank","Dutch Defense, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/368","white",175,"A86","31-12-2019",2244,"2204",0.434,0.257,0.309,"1.d4 f5 2.c4 Cf6 3.g3"
"A87","Dutch, Leningrad, Main Variation","1 d4 f5 2 c4 Nf6 3 g3 g6 4 Bg2 Bg7 5 Nf3","A","Flank","Dutch Defense, Leningrad Variation","https://old.chesstempo.com/gamedb/opening/381","white",1961,"A87","17-01-2021",2308,"2262",0.393,0.32,0.288,"1.d4 f5 2.c4 Cf6 3.g3 g6 4.Ag2 Ag7 5.Cf3"
"A88","Dutch, Leningrad, Main Variation with c6","1 d4 f5 2 c4 Nf6 3 g3 g6 4 Bg2 Bg7 5 Nf3 O-O 6 O-O d6 7 Nc3 c6","A","Flank","Dutch Defense, Leningrad Variation, Warsaw Variation","https://old.chesstempo.com/gamedb/opening/384","black",4108,"A88","09-02-2021",2261,"2294",0.314,0.331,0.354,"1.d4 f5 2.c4 Cf6 3.g3 g6 4.Ag2 Ag7 5.Cf3 O-O 6.O-O d6 7.Cc3 c6"
"A89","Dutch, Leningrad, Main Variation with Nc6","1 d4 f5 2 c4 Nf6 3 g3 g6 4 Bg2 Bg7 5 Nf3 O-O 6 O-O d6 7 Nc3 Nc6","A","Flank","Dutch Defense, Leningrad Variation, Matulovic Variation","https://old.chesstempo.com/gamedb/opening/383","black",3021,"A89","09-03-2020",2229,"2256",0.324,0.293,0.383,"1.d4 f5 2.c4 Cf6 3.g3 g6 4.Ag2 Ag7 5.Cf3 O-O 6.O-O d6 7.Cc3 Cc6"
"A90","Dutch","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2","A","Flank","Dutch Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/363","white",2295,"A90","19-03-2021",2326,"2288",0.44,0.305,0.254,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2"
"A91","Dutch Defense","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7","A","Flank","Dutch Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/364","black",376,"A91","10-03-2020",2216,"2212",0.295,0.311,0.394,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7"
"A92","Dutch","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O","A","Flank","Dutch Defense, Alekhine Variation","https://old.chesstempo.com/gamedb/opening/356","black",355,"A92","09-03-2021",2273,"2310",0.254,0.352,0.394,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O Ce4"
"A93","Dutch, Stonewall, Botvinnik Variation","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d5 7 b3","A","Flank","Dutch Defense, Classical Variation, Stonewall Variation, Botvinnik Variation","https://old.chesstempo.com/gamedb/opening/407","white",347,"A93","22-11-2019",2380,"2317",0.398,0.349,0.254,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d5 7.b3"
"A94","Dutch, Stonewall with Ba3","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d5 7 b3 c6 8 Ba3","A","Flank","Dutch Defense, Classical Variation, Stonewall Variation","https://old.chesstempo.com/gamedb/opening/406","white",401,"A94","01-11-2020",2353,"2291",0.531,0.317,0.152,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d5 7.b3 c6 8.Aa3"
"A95","Dutch, Stonewall","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d5 7 Nc3 c6","A","Flank","Dutch Defense, Classical Variation, Stonewall Variation","https://old.chesstempo.com/gamedb/opening/405","black",699,"A95","01-11-2020",2152,"2191",0.253,0.298,0.449,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d5 7.Cc3 c6"
"A96","Dutch, Classical Variation","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6","A","Flank","Dutch Defense, Classical Variation, Buenos Aires Variation","https://old.chesstempo.com/gamedb/opening/2821","black",802,"A96","15-07-2020",2194,"2225",0.278,0.293,0.429,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d6 7.Cc3 a5"
"A97","Dutch, Ilyin-Genevsky","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6 7 Nc3 Qe8","A","Flank","Dutch Defense, Classical Variation, Ilyin-Zhenevsky Variation, General","https://old.chesstempo.com/gamedb/opening/372","black",668,"A97","08-03-2020",2185,"2233",0.251,0.311,0.437,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d6 7.Cc3 De8"
"A98","Dutch, Ilyin-Genevsky Variation with Qc2","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6 7 Nc3 Qe8 8 Qc2","A","Flank","Dutch Defense, Classical Variation, Ilyin-Zhenevsky Variation, Alatortsev-Lisitsyn Line","https://old.chesstempo.com/gamedb/opening/2823","white",321,"A98","02-02-2020",2273,"2250",0.408,0.302,0.29,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d6 7.Cc3 De8 8.Dc2"
"A99","Dutch, Ilyin-Genevsky Variation with b3","1 d4 f5 2 c4 Nf6 3 g3 e6 4 Bg2 Be7 5 Nf3 O-O 6 O-O d6 7 Nc3 Qe8 8 b3","A","Flank","Dutch Defense, Classical Variation, Ilyin-Zhenevsky Variation, Modern Main Line","https://old.chesstempo.com/gamedb/opening/2824","white",436,"A99","05-01-2020",2390,"2330",0.528,0.271,0.202,"1.d4 f5 2.c4 Cf6 3.g3 e6 4.Ag2 Ae7 5.Cf3 O-O 6.O-O d6 7.Cc3 De8 8.b3"
"A27","English, Three Knights System","1 c4 e5 2 Nc3 Nc6 3 Nf3","A","Flank","English Opening, King's English Variation, Three Knights System, General","https://old.chesstempo.com/gamedb/opening/495","white",2854,"A27","09-03-2021",2254,"2245",0.393,0.282,0.325,"1.c4 e5 2.Cc3 Cc6 3.Cf3"
"A24","English, Bremen System with ...g6","1 c4 e5 2 Nc3 Nf6 3 g3 g6","A","Flank","English Opening, King's English Variation, Two Knights' Variation, Fianchetto Lines","https://old.chesstempo.com/gamedb/opening/498","black",415,"A24","06-03-2021",2044,"2066",0.313,0.239,0.448,"1.c4 e5 2.Cc3 Cf6 3.g3 g6"
